customer_id,name,gender,age,city,signup_date
135,박하윤,F,28,대구,2026-03-17
136,김은주,M,19,대구,2024-04-07
137,김선영,M,68,울산,2025-01-30
138,이정훈,F,35,대구,2025-04-20
139,하승현,F,42,서울,2024-01-15
140,권광수,M,32,인천,2025-03-06
141,김진호,M,40,광주,2023-11-11
142,하서연,F,32,서울,2023-10-11
143,김예은,F,43,대전,2024-03-05
144,김정자,M,22,광주,2025-04-05
145,조정호,M,59,성남,2024-03-05
146,김숙자,M,61,성남,2026-02-24
147,이정남,M,19,부산,2025-04-15
148,오도현,M,29,고양,2026-08-17
149,김정자,M,20,부산,2024-12-21
150,조미영,M,40,대전,2026-02-05
